prev,curr,type,n
Hanno_(elephant),Raphael,link,11
Sandro_Botticelli,Raphael,link,32
Transfiguration_(Raphael),Raphael,link,182
Nazi_plunder,Raphael,link,19
Psyche_(mythology),Raphael,link,24
Portrait_of_a_Man_in_Red_Chalk,Raphael,link,10
Baldassare_Castiglione,Raphael,link,25
Three_Graces_(Raphael),Raphael,link,32
Order_of_the_Golden_Spur,Raphael,link,11
Isabella_Stewart_Gardner_Museum_theft,Raphael,link,24
Drawing,Raphael,link,14
Self-portrait_(Raphael),Raphael,link,19
other-external,Raphael,external,367
Paul_the_Apostle,Raphael,link,13
Roman_Renaissance,Raphael,link,17
Ezekiel's_Vision_(Raphael),Raphael,link,14
"Sant'Agostino,_Rome",Raphael,link,10
Tribuna_of_the_Uffizi,Raphael,link,10
Madonna_(art),Raphael,link,21
Madonna_of_the_Pinks,Raphael,link,19
Madonna_della_Seggiola,Raphael,link,29
Pierre-Auguste_Renoir,Raphael,link,12
La_Fornarina,Raphael,link,39
Vitruvian_Man,Raphael,link,25
Mona_Lisa_(Prado),Raphael,link,12
Portrait_of_Baldassare_Castiglione,Raphael,link,38
Oil_painting,Raphael,link,23
Giovanni_Santi,Raphael,link,30
Resurrection_of_Christ_(Raphael),Raphael,link,28
Saint_Catherine_of_Alexandria_(Raphael),Raphael,link,11
The_School_of_Athens,Raphael,link,1243
Raffaello_MPLM,Raphael,link,13
Sprezzatura,Raphael,link,13
Assumption_of_the_Virgin_(Titian),Raphael,link,11
Western_canon,Raphael,link,17
Portrait_of_Pope_Julius_II,Raphael,link,25
Mona_Lisa,Raphael,link,433
Vision_of_a_Knight_(Raphael),Raphael,link,11
Rianne_Van_Rompaey,Raphael,link,84
History_of_Western_civilization,Raphael,link,12
Raphael_(Teenage_Mutant_Ninja_Turtles),Raphael,link,1856
In_hoc_signo_vinces,Raphael,link,15
Portrait_painting,Raphael,link,12
Salvador_Dalí,Raphael,link,12
Transfiguration_of_Jesus,Raphael,link,121
Chigi_Chapel,Raphael,link,56
Satan,Raphael,link,28
Michael_(archangel),Raphael,link,23
Bindo_Altoviti,Raphael,link,10
Titian,Raphael,link,51
Giorgio_Vasari,Raphael,link,25
Coronation_of_the_Virgin,Raphael,link,11
Saint_Michael_in_the_Catholic_Church,Raphael,link,17
Saint_John_the_Baptist_(Leonardo),Raphael,link,12
"Giuliano_de'_Medici,_Duke_of_Nemours",Raphael,link,18
Leda_and_the_Swan_(Leonardo),Raphael,link,10
Disputation_of_the_Holy_Sacrament,Raphael,link,35
The_Last_Judgment_(Michelangelo),Raphael,link,11
The_Mass_at_Bolsena,Raphael,link,10
Sistine_Chapel_ceiling,Raphael,link,317
Pope_Leo_X,Raphael,link,160
Vatican_City,Raphael,link,17
Perugia,Raphael,link,27
Albrecht_Dürer,Raphael,link,145
William_Blake,Raphael,link,29
Fernando_Botero,Raphael,link,51
Mond_Crucifixion,Raphael,link,10
Lost_artworks,Raphael,link,29
Platonic_Academy,Raphael,link,14
Raphael_Cartoons,Raphael,link,76
Raffael,Raphael,link,61
"Ralph_Percy,_12th_Duke_of_Northumberland",Raphael,link,24
Homer,Raphael,link,10
Gabriel,Raphael,other,18
Claude_Monet,Raphael,other,12
Nicolas_Poussin,Raphael,link,26
Pope_Innocent_VIII,Raphael,link,16
Ananias_and_Sapphira,Raphael,link,11
Young_Woman_with_Unicorn,Raphael,link,55
Galleria_Borghese,Raphael,link,14
Galatea_(Raphael),Raphael,link,46
Imperia_Cognati,Raphael,link,23
Renaissance_art,Raphael,link,97
Greek_mythology,Raphael,link,12
Uffizi,Raphael,link,32
Devil_in_Christianity,Raphael,link,10
Carlo_Maratta,Raphael,link,12
Rafael,Raphael,other,50
Catholic_Church,Raphael,link,10
Sappho,Raphael,link,13
"St._George_(Raphael,_Louvre)",Raphael,link,26
Two–Mona_Lisa_theory,Raphael,link,57
Florence,Raphael,link,59
Portrait_of_a_Young_Man_(Raphael),Raphael,link,160
Jean-Auguste-Dominique_Ingres,Raphael,link,40
Rembrandt,Raphael,link,64
other-empty,Raphael,external,7366
Bacchus_and_Ariadne,Raphael,link,20
Guidobaldo_da_Montefeltro,Raphael,link,16
Euclid,Raphael,link,52
Margarita_Luti,Raphael,link,27
1483,Raphael,link,13
Mannerism,Raphael,link,128
"Pantheon,_Rome",Raphael,link,264
Villa_Madama,Raphael,link,13
Peter_Paul_Rubens,Raphael,link,33
Mosaic,Raphael,link,10
Christians,Raphael,link,86
"Lorenzo_de'_Medici,_Duke_of_Urbino",Raphael,link,21
Leon_Black,Raphael,link,74
Pythagoreanism,Raphael,link,26
Civil_wars_of_the_Tetrarchy,Raphael,link,10
Villa_Farnesina,Raphael,link,12
Madonna_of_the_Rose_(Raphael),Raphael,link,11
List_of_Renaissance_figures,Raphael,link,16
Sfumato,Raphael,link,20
The_Wedding_at_Cana,Raphael,link,17
Renaissance,Raphael,link,156
Rome,Raphael,link,13
Self-Portrait_with_a_Friend,Raphael,link,14
Apostolic_Palace,Raphael,link,18
Sea_of_Galilee,Raphael,link,21
Portrait_of_Maddalena_Doni,Raphael,link,15
List_of_Epic_Rap_Battles_of_History_episodes,Raphael,link,10
Portrait_of_Leo_X_(Raphael),Raphael,link,31
Use_Your_Illusion_II,Raphael,link,20
Elymas,Raphael,link,38
Sistine_Chapel,Raphael,link,67
List_of_works_in_the_Louvre,Raphael,link,12
other-search,Raphael,external,28281
Use_Your_Illusion_I,Raphael,link,50
Kunsthistorisches_Museum,Raphael,link,37
Diogenes,Raphael,link,18
Madonna_and_Child_with_the_Book,Raphael,link,13
Wildenstein_&_Company,Raphael,link,11
Euclidean_geometry,Raphael,link,34
Teenage_Mutant_Ninja_Turtles,Raphael,link,692
House_of_Medici,Raphael,link,150
Mary_Magdalene,Raphael,link,13
The_Deposition_(Raphael),Raphael,link,32
Christ_Falling_on_the_Way_to_Calvary,Raphael,link,12
The_Ecstasy_of_St._Cecilia_(Raphael),Raphael,link,12
Major-General's_Song,Raphael,link,47
Italian_Renaissance_painting,Raphael,link,107
Old_Master,Raphael,link,106
other-other,Raphael,external,46
Raffaello,Raphael,link,35
Pietro_Perugino,Raphael,link,139
Chiaroscuro,Raphael,link,34
other-internal,Raphael,external,1647
Political_philosophy,Raphael,link,26
Artificial_intelligence,Raphael,link,84
Urbino,Raphael,link,85
"Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",Raphael,link,12
Mellon_Collie_and_the_Infinite_Sadness,Raphael,link,16
Victorian_painting,Raphael,link,18
Le_Déjeuner_sur_l'herbe,Raphael,link,10
Crucifixion_of_Jesus,Raphael,link,13
Crayola,Raphael,link,14
Resurrection_of_Jesus,Raphael,link,117
Vatican_Museums,Raphael,link,50
The_Parnassus,Raphael,link,27
The_Romans_in_their_Decadence,Raphael,link,12
Virtue,Raphael,link,24
Jacques-Louis_David,Raphael,link,21
The_Meeting_of_Leo_the_Great_and_Attila,Raphael,link,26
God_the_Father,Raphael,link,91
Antonio_Ciseri,Raphael,link,15
Isleworth_Mona_Lisa,Raphael,link,14
Nordicism,Raphael,link,13
Lyceum_(classical),Raphael,link,17
Italian_lira,Raphael,link,55
Plato,Raphael,link,36
Michelangelo,Raphael,link,1484
Italian_Renaissance,Raphael,link,103
Pope_Julius_II,Raphael,link,136
Saint_George's_Day,Raphael,link,11
Marche,Raphael,link,59
Raphael_(given_name),Raphael,link,64
Quattrocento,Raphael,link,14
Nazarene_movement,Raphael,link,35
